sex,plot_id,record_id,month,day,year,hindfoot_length,weight
F,1,18390.384433962263,6.597877358490566,15.338443396226415,1990.933962264151,31.73391089108911,46.31113801452784
F,2,17714.75360824742,6.4268041237113405,16.288659793814432,1990.4494845360825,30.161220043572985,52.56184486373166
F,3,19888.783874580065,6.604703247480403,16.16125419932811,1992.013437849944,23.77404403244496,31.215349369988544
F,4,17489.205275229357,6.442660550458716,15.746559633027523,1990.2350917431193,33.24910179640719,46.818823529411766
F,5,12280.793168880455,6.142314990512334,15.722960151802656,1986.4857685009488,28.92184368737475,40.974806201550386
F,6,19406.503392130257,6.6282225237449115,16.313432835820894,1991.5793758480327,26.98132183908046,36.35228848821082
F,7,19069.668656716418,6.385074626865672,15.313432835820896,1991.4417910447762,19.77955271565495,20.006134969325153
F,8,18920.27619047619,6.632142857142857,15.836904761904762,1991.267857142857,32.18757763975155,45.62301101591187
F,9,16217.497069167644,6.499413833528722,15.555685814771396,1989.303634232122,35.12609238451935,53.61846901579587
F,10,16001.496453900709,5.588652482269503,16.9645390070922,1989.2482269503546,18.64179104477612,17.094202898550726
F,11,16994.962287104623,6.759124087591241,16.28345498783455,1989.8369829683697,32.029299363057326,43.515075376884425
F,12,17457.966981132075,6.509433962264151,16.30566037735849,1990.2669811320754,30.975124378109452,49.83173076923077
F,13,18033.100318471337,6.802547770700637,16.229299363057326,1990.6194267515923,27.201013513513512,40.52459016393443
F,14,17097.145275035262,6.510578279266572,16.681241184767277,1989.9746121297603,32.97337278106509,47.35549132947977
F,15,20602.449064449065,6.56964656964657,16.16216216216216,1992.5239085239086,21.949891067538125,26.670235546038544
F,16,19002.445945945947,6.36036036036036,16.81981981981982,1991.3513513513512,23.144927536231883,25.81042654028436
F,17,18234.32286995516,6.650224215246637,15.89237668161435,1990.7858744394618,30.918536009445102,48.17620137299771
F,18,17940.875496688743,6.6980132450331125,15.960264900662251,1990.5364238410596,26.69034090909091,36.96351351351351
F,19,21848.216475095785,6.7011494252873565,15.226053639846743,1993.4176245210729,21.25793650793651,21.97859922178988
F,20,17510.76923076923,6.743076923076923,16.026153846153846,1990.253846153846,27.069192751235583,52.62440570522979
F,21,22452.63666121113,6.86088379705401,16.307692307692307,1993.8788870703763,22.366554054054053,25.9748322147651
F,22,18499.69597615499,6.651266766020864,15.52160953800298,1990.973174366617,34.108320251177396,53.64705882352941
F,23,15863.19393939394,6.86060606060606,16.036363636363635,1989.0242424242424,20.051948051948052,20.56441717791411
F,24,13702.224279835391,6.596707818930041,16.393004115226336,1987.485596707819,26.99337748344371,47.914405010438415
M,1,17197.740639269407,6.121461187214612,15.90593607305936,1990.0913242009133,34.30276981852913,55.95055970149254
M,2,18085.45804195804,6.340034965034965,15.44055944055944,1990.756118881119,30.35376044568245,51.39138240574506
M,3,20226.76785714286,6.271428571428571,16.45,1992.275,23.83374384236453,34.163240628778716
M,4,18493.841747572817,6.430097087378641,16.507766990291262,1991.0009708737864,34.09795918367347,48.888118811881185
M,5,12798.42662116041,6.194539249146757,15.703071672354948,1986.8174061433447,29.69479353680431,40.70855148342059
M,6,17849.574607329843,6.035340314136126,16.091623036649214,1990.556282722513,27.42559109874826,36.867388362652235
M,7,19188.72964169381,6.719869706840391,15.778501628664495,1991.4625407166125,20.536666666666665,21.194719471947195
M,8,19452.10986775178,6.571719226856562,15.854526958290947,1991.6866734486266,33.751059322033896,49.641372141372145
M,9,18000.71015936255,6.361553784860558,15.209163346613545,1990.632470119522,34.17573221757322,49.51930894308943
M,10,15708.704225352112,5.71830985915493,16.739436619718308,1989.0070422535211,19.567164179104477,19.971223021582734
M,11,16933.909620991253,6.374149659863946,15.974732750242953,1989.8561710398444,32.07801418439716,43.36619718309859
M,12,17592.3275,6.304166666666666,16.3675,1990.4008333333334,31.762489044697634,48.90971039182283
M,13,16969.044699872287,6.480204342273308,16.005108556832695,1989.9118773946361,27.893793103448274,40.09775429326288
M,14,17891.948598130843,6.660747663551402,16.50467289719626,1990.5878504672896,32.961802154750245,45.159378036929056
M,15,18104.0195599022,6.185819070904645,17.413202933985332,1990.7701711491443,21.803108808290155,27.523690773067333
M,16,18434.714285714286,6.201465201465202,16.622710622710624,1990.9267399267399,23.480916030534353,23.81132075471698
M,17,18857.651471984806,6.56980056980057,16.183285849952515,1991.3314339981007,32.22763419483101,47.55885262116716
M,18,15106.718849840256,6.610223642172524,16.797124600638977,1988.5511182108626,27.703071672354948,43.54695222405272
M,19,19470.779690189327,6.533562822719449,16.647160068846816,1991.7401032702237,21.07168458781362,20.306878306878307
M,20,16076.192495921696,6.489396411092986,16.375203915171287,1989.2430668841762,27.908450704225352,44.197278911564624
M,21,20120.39911308204,6.671840354767184,16.2039911308204,1992.19955654102,21.736720554272516,22.77262180974478
M,22,18015.365527488855,6.381872213967311,16.682020802377416,1990.6508172362555,33.359746434231376,54.57253086419753
M,23,17091.338164251207,6.391304347826087,16.07729468599034,1989.961352657005,19.85,18.941463414634146
M,24,15208.136082474226,6.360824742268041,16.971134020618557,1988.641237113402,25.786995515695068,39.32150313152401
